"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"L_Diff_90_percentile",0.00819311621474797,0.141834211204389,0.00297606033970232,-0.0101118985926583,0.0109489716254906,-0.0156878791227415,0.0184254463312489,0.0184254463312504,0.000607333985678331,0.00819311621477267,0.00452111902029655,-0.0151239064000736
"LM_Cov_pro",-0.00629216910563721,0.0721709721719526,0.00603182290037836,0.00964401302979753,-0.00987409634791941,-0.00629216910563688,0.0146784963305643,-0.00987409634791998,0.0181276313400992,-0.00934095175560739,-0.033043263871404,0.00194747260970895
"LM_Insert_10_percentile",0.0813447980012462,-0.135467984674992,-0.0118606788480956,-0.0114734825956984,-0.0485168884642365,-0.00496194902477462,-0.0114734825956985,0.00625705858402074,-0.000805135815911856,0.00625705858402288,0.0323068424360609,-0.0138013804266687
"LM_Dis_map_ratio",0.00852220704519178,0.00852220704519223,-0.00699708902743731,0.00846278859114261,0.0507817143471352,0.00702698780655919,0.00241986500136206,0.00852220704514766,0.0224187829765327,-0.0138630909941223,-0.0135429854364375,-0.0116626184814476
"LM_Soft",0.0289150206326472,0.0028841438953604,0.0028841438954033,-0.0185046207379239,0.00758227329814202,-0.00644046782020053,0.0164988427271571,0.0164988427271573,0.0261557854763571,-0.0238782276064898,0.002696589567663,0.00374511047960646
"LM_Soft_sd",0.0537135533377265,-0.0031610466323764,-0.00164295188760661,-0.0236470806340766,0.00488578747859542,-0.000209721246003581,-0.00316104663237726,0.00498231291805841,0.0161313560355325,-0.0233364271476572,0.010873355834622,0.00488578747859536
"LM_Ins_10_percentile",0.00281324249817288,0.00209080497171116,-0.00909764821213703,0.0250606894947445,0.00650248885152216,0.00209080497171056,-0.00779139868606029,0.0355123463592702,-0.00489618007805883,-0.00330764787845018,-0.00476235965150495,-0.00476235965150495
"LM_Diff",0.0295061315223146,0.0830462757661848,-0.0214182817783623,-0.00129649293936363,0.0162561018542277,0.00845448671156281,-0.00129649293936374,-0.0276706056397173,-0.0276706056397165,0.000616652540184072,0.00725404347988476,-0.00552443967822431
"LM_Diff_90_percentile",-0.00222244749159082,0.116081040632516,-0.00222244749159068,0.0189910458417523,0.0232957775396185,-0.0360935888151023,0.0256736037179284,0.116081040632517,0.0193756273873934,-0.00872217152399475,-0.00924536459028569,-0.00896052140425977
"M_Insert_10_percentile",0.0519401316446963,-0.0675421178159241,-1.8782316598054e-05,-0.0178067544202643,-0.0428143315213351,-0.013131594497202,-0.013131594497174,-0.0578637119361729,-0.0178067544202642,0.0233133548869596,0.0432224270263857,-0.0123066920369096
